Student ID,Event Type,Department,Rating,Feedback,Sentiment
S001,Workshop,CSE,5,Amazing workshop! Very engaging and useful.,negative
S002,Seminar,ECE,4,Good speaker but the seminar felt too long.,neutral
S003,Cultural,MECH,2,Too loud and disorganized event.,neutral
S004,Workshop,EEE,5,Well-structured and informative session.,positive
S005,Seminar,IT,3,"Slides were confusing, needs improvement.",neutral
S006,Cultural,CIVIL,1,Bad coordination and no refreshments.,neutral
S007,Workshop,CSE,4,Helpful content but a bit boring.,negative
S008,Seminar,ECE,3,"Interesting seminar, but poor Q&A session.",negative
S009,Cultural,MECH,2,Sound system was poor in cultural event.,positive
S010,Workshop,EEE,5,Great delivery and pace of the workshop.,positive
S011,Seminar,IT,2,It was hard to follow at some points.,positive
S012,Cultural,CIVIL,1,Didn't enjoy the cultural show.,positive
S013,Workshop,CSE,5,"Perfectly arranged, enjoyed every bit.",positive
S014,Seminar,ECE,3,More examples would have helped.,positive
S015,Cultural,MECH,2,Late start and unclear announcements.,positive
S016,Workshop,EEE,4,"Valuable session, well explained topics.",positive
S017,Seminar,IT,3,"The event started late, not well managed.",positive
S018,Cultural,CIVIL,1,"Unclear topics, not engaging.",negative
S019,Workshop,CSE,5,One of the best events attended.,neutral
S020,Seminar,ECE,4,Pretty decent and informative talk.,neutral
S021,Cultural,MECH,2,"Not much fun, expected more activities.",positive
S022,Workshop,EEE,5,"Fantastic workshop, hands-on and practical.",positive
S023,Seminar,IT,4,Well moderated session with good flow.,neutral
S024,Cultural,CIVIL,1,"No engagement, felt disconnected.",neutral
S025,Workshop,CSE,5,Outstanding knowledge sharing session.,neutral
S026,Seminar,ECE,4,"Nice speaker, but lacked visual aids.",neutral
S027,Cultural,MECH,2,Noisy and chaotic environment.,negative
S028,Workshop,EEE,5,Excellent guidance and clarity.,positive
S029,Seminar,IT,3,Speaker rushed through slides.,neutral
S030,Cultural,CIVIL,1,Low energy from performers.,positive
S031,Workshop,ECE,3,Amazing workshop! Very engaging and useful.,negative
S032,Seminar,MECH,5,Good speaker but the seminar felt too long.,positive
S033,Cultural,EEE,4,Too loud and disorganized event.,neutral
S034,Workshop,IT,1,Well-structured and informative session.,positive
S035,Seminar,CIVIL,2,"Slides were confusing, needs improvement.",negative
S036,Cultural,CSE,2,Bad coordination and no refreshments.,positive
S037,Workshop,ECE,3,Helpful content but a bit boring.,neutral
S038,Seminar,MECH,4,"Interesting seminar, but poor Q&A session.",negative
S039,Cultural,EEE,5,Sound system was poor in cultural event.,neutral
S040,Workshop,IT,4,Great delivery and pace of the workshop.,positive
S041,Seminar,CIVIL,1,It was hard to follow at some points.,positive
S042,Cultural,CSE,4,Didn't enjoy the cultural show.,positive
S043,Workshop,ECE,3,"Perfectly arranged, enjoyed every bit.",neutral
S044,Seminar,MECH,3,More examples would have helped.,positive
S045,Cultural,EEE,4,Late start and unclear announcements.,neutral
S046,Workshop,IT,5,"Valuable session, well explained topics.",neutral
S047,Seminar,CIVIL,2,"Not much fun, expected more activities.",negative
S048,Cultural,CSE,3,"Fantastic workshop, hands-on and practical.",neutral
S049,Workshop,ECE,1,Well moderated session with good flow.,positive
S050,Seminar,MECH,4,"No engagement, felt disconnected.",neutral
S051,Cultural,EEE,2,Outstanding knowledge sharing session.,positive
S052,Workshop,IT,5,"Nice speaker, but lacked visual aids.",positive
S053,Seminar,CIVIL,2,Noisy and chaotic environment.,positive
